,name,prices,rating,url
31,"upHere Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket, Anodized Aerospace Aluminum, Single or Dual Slot Cards (Black)",{},4.5 out of 5 stars,https://www.amazon.com/upHere-Graphics-Anodized-Aerospace-Aluminum/dp/B076GYL25H/ref=sr_1_32/142-0168092-6167415?ie=UTF8&qid=1531724487&sr=8-32&keywords=GPU
32,SPARTAN V2 Open Air GPU Mining Rig Frame Computer Case Chassis - Ethereum ETH Zcash ZEC Monero XMR,{},3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0429215YE0KI31IN138&url=https%3A%2F%2Fwww.amazon.com%2FSPARTAN-Mining-Frame-Computer-Chassis%2Fdp%2FB0764MTTS3%2Fref%3Dsr_1_33_sspa%2F137-9174457-7690620%3Fie%3DUTF8%26qid%3D1531724488%26sr%3D8-33-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724488&id=7446987226223002&widgetName=sp_atf_next
33,Sonnet eGFX Breakaway Puck Radeon RX 570 (Mac & Windows Compatible),{},4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A03478753BOU3KPEBTZHZ&url=https%3A%2F%2Fwww.amazon.com%2FSonnet-Breakaway-Radeon-Windows-Compatible%2Fdp%2FB076MHMF3V%2Fref%3Dsr_1_34_sspa%2F137-9174457-7690620%3Fie%3DUTF8%26qid%3D1531724488%26sr%3D8-34-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724488&id=7446987226223002&widgetName=sp_atf_next
34,Yoolight 50Pack 5-Size 15x15mm IC Chipset GPU CPU Thermal Heatsink Copper Pad,{},,https://www.amazon.com/Yoolight-15x15mm-Chipset-Thermal-Heatsink/dp/B07BYDQW9X/ref=sr_1_35/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-35&keywords=GPU
35,6 Packs of PNY GeForce GTX 1070 Ti 0 Ti Blower 8GB VCGGTX1070T8PB-CG Graphics Cards,{},1 out of 5 stars,https://www.amazon.com/PNY-GeForce-Blower-VCGGTX1070T8PB-CG-Graphics/dp/B079MFNVM8/ref=sr_1_36/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-36&keywords=GPU
36,[6-Pack] VICTONY 4 Pin PCIe Riser Mining Card PCI-E 16x to 1x Powered Riser Adapter Card w/60cm USB 3.0 Extension Cable & MOLEX to SATA Power Cable-GPU Riser Extender Cable- Ethereum Mining ETH,{},5 out of 5 stars,https://www.amazon.com/VICTONY-Extension-Cable-GPU-Extender-Ethereum/dp/B07DZV5MC1/ref=sr_1_37/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-37&keywords=GPU
37,MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 GAMING X 8G),{'Base price': ['Suggested Retail Price: $689.99']},4.6 out of 5 stars,https://www.amazon.com/MSI-GTX-1080-GAMING-8G/dp/B01GLYD7MG/ref=sr_1_38/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-38&keywords=GPU
38,"upHere Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket, Anodized Aerospace Aluminum, Single or Dual Slot Cards Black (G205)",{},4.5 out of 5 stars,https://www.amazon.com/upHere-Graphics-Anodized-Aerospace-Aluminum/dp/B079HSVSLR/ref=sr_1_39/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-39&keywords=GPU
39,"EVGA 500 W1, 80+ WHITE 500W, 3 Year Warranty, Power Supply 100-W1-0500-KR, Black",{},4.5 out of 5 stars,https://www.amazon.com/EVGA-WHITE-Warranty-Supply-100-W1-0500-KR/dp/B00H33SFJU/ref=sr_1_40/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-40&keywords=GPU
40,Gigabyte Radeon RX 550 D5 2GB Graphic Cards GV-RX550D5-2GD,{},4.1 out of 5 stars,https://www.amazon.com/Gigabyte-Radeon-Graphic-Cards-GV-RX550D5-2GD/dp/B06Y43NJ3D/ref=sr_1_41/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-41&keywords=GPU
41,"Hydra II 8 GPU 6U Server Mining Rig Case, Dual PSU Ready",{'Base price': ['Suggested Retail Price: $249.99']},4.6 out of 5 stars,https://www.amazon.com/Hydra-Server-Mining-Case-Ready/dp/B07B4QHDPJ/ref=sr_1_42/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-42&keywords=GPU
42,Veddha 8 GPU Deluxe Model Stackable Mining Case Rig Open Air Frame For ETH/ETC/ZCash/ZEC - Support arbitrary number of HIGH SPEED fans,{},4.1 out of 5 stars,https://www.amazon.com/Veddha-Deluxe-Model-Stackable-Mining/dp/B0784LSPKV/ref=sr_1_43/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-43&keywords=GPU
43,ASUS ROG Strix GeForce GTX 1070 Ti 8GB GDDR5 Advanced Edition VR Ready DP HDMI DVI Gaming Graphics Card (ROG-STRIX-GTX1070TI-A8G-GAMING),{'Base price': ['Suggested Retail Price: $519.99']},4.6 out of 5 stars,https://www.amazon.com/GeForce-Advanced-Gaming-Graphics-ROG-STRIX-GTX1070TI-A8G-GAMING/dp/B076RCTXGX/ref=sr_1_44/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-44&keywords=GPU
44,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, LED, DX12 OSD Support (PXOC) 08G-P4-5173-KR",{'Base price': ['Suggested Retail Price: $499.99']},4.5 out of 5 stars,https://www.amazon.com/EVGA-GeForce-GAMING-Support-08G-P4-5173-KR/dp/B01KVZBNY0/ref=sr_1_45/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-45&keywords=GPU
45,Temperature Monitor - CPU & GPU,{},2.1 out of 5 stars,https://www.amazon.com/NovelMatrix-Temperature-Monitor-CPU-GPU/dp/B00N5DJ7JE/ref=sr_1_46/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-46&keywords=GPU
